Market,Date,Receipt total,Article name,Sum,Quantity,Price
coop,2020-10-20,"766,69",BLANDFARS 20% 50/50,"75,25","1,004 kg","74,95 SEK/kg"
coop,2020-10-20,"766,69",BLANDFARS 20% 50/50,"75,85","1,012 kg","74,95 SEK/kg"
coop,2020-10-20,"766,69",BLOMKAL GRÖN,"21,18","0,606 kg","34,95 SEK/kg"
coop,2020-10-20,"766,69",BLOMKAL ST,"21,95",1 st,"21,95"
coop,2020-10-20,"766,69",BRYSSEL NAT 50OG,"17,95",1 st,"17,95"
coop,2020-10-20,"766,69",CITRON LIME,"17,95",1 st,"17,95"
coop,2020-10-20,"766,69",PANT 1KR BURK 1X1KR,"1,00",1 st,"1,00"
coop,2020-10-20,"766,69",CREME FRAICHE 34%,"49,00",2 st,"24,50"
coop,2020-10-20,"766,69",DARK TEMPTATION,"41,95",1 st,"41,95"
coop,2020-10-20,"766,69",DRYCK VATTENM/PARON,"13,95",1 st,"13,95"
coop,2020-10-20,"766,69",GURKA STYCK,"25,90",2 st,"12,95"
coop,2020-10-20,"766,69",HALLON ACAI,"17,95",1 st,"17,95"
coop,2020-10-20,"766,69",PANT 1KR BURK 1X1KR,"1,00",1 st,"1,00"
coop,2020-10-20,"766,69",INTENZO XLT,"41,95",1 st,"41,95"
coop,2020-10-20,"766,69",KYCKLING FARS Medlem M,"99,80",2 st,"49,90"
coop,2020-10-20,"766,69",KYCKLINGFILE,"169,90",2 st,"84,95"
coop,2020-10-20,"766,69",MULTIVITAMINDRINK,"13,50",1 st,"13,50"
coop,2020-10-20,"766,69",ORIGINAL KRAMIG HAL,"19,50",1 st,"19,50"
coop,2020-10-20,"766,69",PHILADELP ORIGINAL,"39,90",2 st,"19,95"
coop,2020-10-20,"766,69",SATSUMAS,"11,81","0,538 kg","21,95 SEK/kg"
coop,2020-10-20,"766,69",SKÁNERÖST,"41,95",1 st,"41,95"
coop,2020-10-20,"766,69",SMÖR OSALTAT,"39,95",1 st,"39,95"
coop,2020-10-20,"766,69",SQUEEZY JORDGSYLT,"27,95",1 st,"27,95"
coop,2020-10-20,"766,69",4TOMATER KROSSADE,"11,95",1 st,"11,95"
coop,2020-10-20,"766,69",VISPGRADDE 36%,"39,95",1 st,"39,95"
coop,2020-10-20,"766,69",WHITE PEACH,"17,95",1 st,"17,95"
coop,2020-10-20,"766,69",PANT 1KR BURK 1X1KR,"1,00",1 st,"1,00"
coop,2020-10-20,"766,69", 2 för 32kr,,,"-3,90"
coop,2020-10-20,"766,69",Kaffe 59kr,,,"-66,85"
